labels,train,test,all
Law and Crime,1701,729,2430
Civil Rights,782,336,1118
Domestic Commerce,692,296,988
Labor,488,209,697
Government Operations,391,167,558
Transportation,241,103,344
Public Lands,169,73,242
Defense,120,52,172
Immigration,111,47,158
Energy,106,45,151
Macroeconomics,98,42,140
Health,95,41,136
Environment,78,34,112
Education,65,28,93
Social Welfare,64,28,92
Technology,64,27,91
Foreign Trade,58,25,83
Agriculture,42,18,60
Housing,32,14,46
International Affairs,29,12,41
